Id,SalePrice
1461,121965.54911907113
1462,161457.18924514952
1463,182161.6607598527
1464,196648.71944075663
1465,193755.58932694857
1466,171030.46829414804
1467,174654.96592221895
1468,165785.6161028168
1469,186533.91582022418
1470,124997.58598003446
1471,187885.13896148978
1472,96338.07543932194
1473,96382.54578419059
1474,147335.25017201662
1475,112832.48905594811
1476,371151.99285128684
1477,254269.173059914
1478,285958.65409847227
1479,291893.95923606295
1480,488922.63357269164
1481,341860.79391290096
1482,216129.50161027152
1483,177319.49610526266
1484,162460.15232502625
1485,185984.2525818108
1486,195792.97678883435
1487,342832.1984622861
1488,236880.18331967448
1489,194271.13076544355
1490,238215.55153339767
1491,188916.9466092665
1492,91793.60179690905
1493,179549.85626021723
1494,293414.37046664295
1495,291266.42361636885
1496,229032.1903036006
1497,178927.59169534512
1498,164064.67370018087
1499,158443.53016794808
1500,154228.74241912973
1501,177018.97873472222
1502,145516.9243352533
1503,280564.59528829134
1504,245073.21777105157
1505,230438.87629711945
1506,192044.19713922925
1507,247050.3708635136
1508,196904.74691786343
1509,163701.0429677277
1510,144036.94340261526
1511,149695.39908936073
1512,173560.88235846546
1513,138431.0601463476
1514,147249.0522410702
1515,191407.8672516215
1516,149920.30628140015
1517,165302.72944051764
1518,132065.8446285021
1519,213075.6259570584
1520,133075.24331158993
1521,134883.57462613456
1522,176111.98455623712
1523,112075.8529633068
1524,126815.17437898662
1525,121270.41281639136
1526,111132.96703828903
1527,106750.88373004954
1528,138848.9069628326
1529,152333.6507191756
1530,179638.17705891214
1531,108970.38783257629
1532,95250.74550627648
1533,149216.9099848316
1534,122716.24193087917
1535,155966.43852164864
1536,107427.14999913708
1537,62230.286539213266
1538,150879.03384552983
1539,192480.40535582497
1540,92543.07702529346
1541,146345.36936470956
1542,139182.06722137635
1543,196900.17343888903
1544,84904.25930858275
1545,110848.71296862248
1546,129177.6013174717
1547,129078.32430924436
1548,135125.9817572139
1549,119515.39421769233
1550,130730.88643642054
1551,108148.5519628583
1552,137868.80774079432
1553,149876.7353478893
1554,116530.76115270052
1555,169900.43462589287
1556,85070.78355403217
1557,102405.99342826373
1558,96723.02738866446
1559,76922.04387359643
1560,130834.57957888559
1561,122756.32518300916
1562,127344.56742579748
1563,120019.59403252929
1564,160291.08903299464
1565,143379.95350505854
1566,247875.27853288114
1567,75261.2127737288
1568,239848.00027696762
1569,132251.07538142722
1570,142405.25530864793
1571,125188.97678582049
1572,145717.78798627513
1573,252218.26981165863
1574,119566.79951994706
1575,229261.96365727737
1576,235038.13098860538
1577,183299.79335198263
1578,139158.81954390992
1579,149867.0747011465
1580,194543.29038649716
1581,154855.80865635732
1582,123918.93415281513
1583,302292.90395478485
1584,220542.24845824947
1585,138659.75810950977
1586,65711.26557009033
1587,102486.28617708407
1588,156052.19686033105
1589,92532.40648918657
